id,concepts
W1964482136,"['high temperature material', 'material', 'temperature application', 'alloy', 'refractory metal', 'coating', 'ceramic', 'present status', 'future prospect', 'research effort']"
W1964518164,"['biomechanical effect', 'osseointegration', 'implant', 'weight-bearing animal model', 'animal model', 'macrostructured femoral stem prosthesis', 'femoral stem prosthesis', 'prosthesis', 'cobalt-chrome alloy', 'weight-bearing dog model', 'dog model', 'implant osseointegration', 'biomechanical bone loading condition', 'bone loading condition', 'roentgenologically proximal new bone formation', 'proximal new bone formation', 'distal force transmission', 'bone', 'stiff femoral implant', 'femoral implant', 'extensive distal new bone formation', 'distal new bone formation', 'microradiographical fixation', 'microscopical fixation', 'fixation', 'lucent line', 'osseous integration', 'circumferential fibrous tissue encapsulation', 'fibrous tissue encapsulation', 'bone atrophy']"
W1965011924,"['feinschneidtechnik', 'feinschneid', 'schneid', 'schneidtechnik', 'three-dimensional multifunction-part', 'multifunction-part', 'cold-forming operation', 'cold-forming', 'weld nipple', 'semi-piercing', 'cost-down pressure', 'part']"
W1966858515,"['specimen thickness', 'deformation behaviour', 'fracture behaviour', 'wide plates', 'double-edge-notched-tension-specimen', 'double-edge-notched-tension', 'tension', 'state of stress', 'plastic limit load', 'plastic limit', 'maximum load', 'toughness requirement', 'j-integral analysis', 'overall dimension', 'deect ratio']"
W1972932412,"['diffusion bonded hollow sphere structure', 'hollow sphere structure', 'diffusion bonding', 'noise reduction', 'vibration reduction', 'n&v noise', 'vibration', 'cellular metal', 'metallic hollow sphere structures', 'geometrical reproducibility', 'stable properties', 'vibrational analysis', 'sintered metallic hollow sphere structures', 'finite element model', 'hollow sphere', 'interconnection', 'laser scanning vibrometer', 'vibrometer', 'analytical analysis']"
W1975027540,"['plasma sprayed coating', 'plasma spraying', 'endoprosthesis', 'stable endoprosthesis', 'endoprosthetic implant', 'bioceramic material', 'ceramic route', 'xrd analysis', 'empa analysis', 'titanium substrate', 'atmospheric plasma spraying', 'multiphase bioactive layer', 'porous layer', 'in-vitro biocompatibility test', 'in-vitro testing', 'bone marrow cells', 'rat bone marrow cells', 'cell growth rate', 'thermanox cell cover slips']"
W1975233560,"['ultraschallprfung', 'hochleistungsverbundwerkstoff', 'verbundwerkstoff', 'rechnergestutzte ultraschallprufung', 'prufsystem abakus', 'prufsystem', 'pruffrequenz', 'durchschallungstechnik', 'water', 'hohe prufempfindlichkeit', 'signalaufbereitung', 'software gmani', 'automatische bewertung', 'ultrasonische examinierung', 'polymer-komposite', 'polymere komposite']"
W1976100675,"['mrkte für magnesiumverarbeiter', 'magnesiumverarbeiter', 'spritzgegossene magnesiumbauteile', 'magnesiumbauteile', 'kunststoffbauteile', 'metal processing industry', 'plastic parts', 'asian metal processing industry', 'injection molding', 'magnesium injection molding', 'thixomolding', 'plastic market', 'magnesium processing industry in europe', 'sustained growth', 'small shares']"
W1977644552,"['interkristalliner schwingungsrisse', 'interkristalliner schwingungsriss', 'schwingungsriss', 'erstihlig freier stahl', 'erstihlig', 'freier stahl', 'ermudungsfestigkeit', 'schadensmechanismus', 'mechanische eigenschaft', 'metallographische untersuchung', 'electronenoptische analyseverfahren', 'ten', 'aes', 'high-resolution analyses techniques', 'tem', 'aes']"
W1979865343,"['exogenous carbon nanoparticle', 'carbon nanoparticle', 'structure and reinforcement', 'aluminum matrix composite', 'carbon nanotubes', 'strengthening phase', 'aluminum-matrix composite', 'hardness', 'vickers method', 'classical hardening theory', 'hardening theory']"
W1980558165,"['carbon nanotube', 'iron catalyst', 'iron-based powder', 'human blood plasma', 'blood plasma', 'metallic catalyst', 'respiratory apparatus', 'tissue fluid', 'blood', 'iron-carbon nanotube', 'carbonyl iron', 'iron 3+ oxide', 'spectral photometric method', 'plasma-containing media', 'carbonyl iron powder', 'blood plasma interaction', 'iron 3+ oxide powder']"
W1981149641,"['simulation study', 'experimental study', 'repaired composite laminate', 'composite laminate', 'repair', 'compress experiment', 'mechanical behavior', 'finite element method', 'finite element', 'geometric non-linearity', 'stress-strain response', 'numeric analysis', 'user material subroutine', 'umat', 'abaqus package', 'quadrilateral element', 'linear element', 'thick shell element', 's8r']"
W1982643750,"['tensile strength', 'dual-phase steel', 'dual-phase', 'steel', 'carbon content', 'austenitizing temperature', 'surface and thin film analysis', 'coating development', 'coating production', 'low-carbon steel', 'annealing', 'quenching', 'dual phase steel structure', 'martensite', 'ferrite', 'intercritical annealing', 'equiaxed ferrite-martensite', 'continuous yielding', 'stress-strain curves', 'tensile strength prediction', 'empirical tensile strength']"
W1983041807,"['metallic construction material', 'light metals', 'lightweight materials', 'automotive industry', 'aerospace industry', 'machining light metals', 'cutting tool material', 'tool coating', 'cutting condition', 'diamond-coated tools', 'pcd-insert', 'coefficient of friction', 'thermal conductivity', 'magnesium chip ignition', 'machining titanium alloys', 'modern coatings', 'ti-aln', 'ti-ctin']"
W1985193829,"['zyclical creep', 'middle spannings relaxation', 'unguented steel', 'stress-controlled fatigue test', 'fatigue test', 'total strain-controlled fatigue test', 'strain control', 'fatigue', 'cyclic stress control', 'quenched and tempered steel specimen', 'quenched and tempered steel', 'worksoftening', 'workhardening', 'cyclic fracture', 'total strain-controlled experiment', 'strain creep resistance', 'cyclic creep', 'mean stress relaxation', 'wohler-curve']"
W1987082587,"['damage tolerance verification concept', 'damage tolerance', 'ariane 5 booster case', 'ariane 5', 'booster case', 'welded interface', 'welded interface case', 'high strength low alloy steel', 'low alloy steel', 'steel', 'shear bolt connection', 'eb-weld', 'verification concept']"
W1987099748,"['operational loading', 'stahlkonstruktion', 'anlagenbau', 'loads and geometry', 'local stresses', 'stressability', 'design concept', 'evaluation criteria', 'numerical strength proof-out', 'quality requirements', 'material provision', 'design', 'manufacture', 'control', 'load and strain measurements', 'service', 'fatigue life', 'inspections', 'maintenance']"
W1989082810,"['low friction', 'mos2', 'tiw coatings', 'x38crmov5-1 steel', 'pvd method', 'pvd', 'friction coefficients', 'wear resistances', 'protective coatings', 'tribometer tests', 'tribometer', 'multisource hybrid factory-scale equipment', 'multisource hybrid', 'hybrid factory-scale equipment', 'urm 079', 'physical method', 'tribological tests', 'steel counter-samples', 'corundum balls', 'counter-samples', 'friction coefficient', 'uncoated steel', 'wear resistance']"
W1992944904,"['sic nanostructure', 'nanostructure', 'chemical vapor growth', 'cvg', 'silicon carbide', 'nanorod', 'nanocolumn', 'catalyst-free method', 'catalyst-free', 'activated carbon powder', 'oxidized silicon wafer', 'wafer oxidation time', 'wafer oxidation', 'sioc thickness', 'source material', 'sioc nanorods', 'sioc nanocolumns', 'graphite crucible', 'agglomeration', 'vapor-solid growth', 'growth']"
W1993654066,"['predicting welding fatigue strength', 'welding fatigue strength', 'statistical size effect', 'fatigue test', 'butt joint', 'cruciform joint', 'welding seam length', 'fatigue behavior', 'scatter of welding seam geometry', 'geometric scatter', 'fitting and predicting test results', 'prediction', 'residual stresses', 'crack propagation calculation', 'crack propagation', 'angular misalignment', 'linear misalignment', 'local geometry change']"
W1994811053,"['densification', 'mechanical property', 'liquid phase sintering', 'sintering', 'tantalum powder', 'tantalum', 'nickel addition', 'iron addition', 'copper addition', 'lower sintering temperature', 'good densification', 'good mechanical property', 'cold pressing', 'vacuum', 'density', 'linear shrinkage', 'activation energy', 'hardness test', 'compression test']"
W1998173013,"['1-dimensional nanostructure', '1-dimensional nanostructures', '3-dimensional nanostructure', '3-dimensional nanostructures', 'znO nanostructure', 'znO nanostructures', 'thermal oxidation', 'oxidation', 'chemical method', 'surface oxide', 'oxidation temperature', 'oxidation time', 'oxidation atmosphere', 'nanosheets', 'nanorods', 'fast diffusion mechanism', 'diffusion path', 'vapour-solid growth', 'sublimation temperature', 'circula particulate', 'seed layer', 'ordered nanostructure', 'anodic oxidation', 'hydrothermal process', 'self-aligned single crystalline hexagonal nanorods', 'self-aligned nanorods', 'hexamethyletramine', 'hmt', 'zn2+', 'seedded substrate', 'reaction', 'dissolution process', 'precipitation process']"
W2001112388,"['boundary condition', 'finite element creep stress analysis', 'finite element', 'creep stress', 'strain analysis', 'double shear specimen', 'isotropic creep condition', 'creep', 'double shear creep specimen', 'mayr et al.', 'finite element code abaqus', 'rigid surface', 'boundary condition for loading', 'contact pair', 'homogeneous state', 'shear strain', 'anisotropic finite element creep stress analysis']"
W2001489764,"['fracture phenomena', 'glass filled ceramics', 'shock tube', 'shock tube analysis', 'plate-shaped specimen', 'dome-shaped specimen', 'shock tube analysis', 'air breathing engine', 'dome port cover', 'frangible characteristic', 'fracture pressure', 'membrane fracture', 'numerical method', 'corning company', 'driven section', 'dump tank', 'air breathing engine design', 'engine design']"
W2002421711,"['microstructure', 'property', 'in-situ synthesized tiib2fe2b/steel-based composite', 'in-situ synthesized', 'tiib2fe2b', 'steel-based composite', 'particulate-reinforced metal matrix composite', 'reinforced phase', 'matrix', 'optical microscopy', 'scanning electron microscopy', 'x-ray diffraction', 'mechanical property', 'abrasion resistance', 'nodular form', 'granular form', 'broken network', 'improved property']"
W2003836778,"['cost-effective method', 'cost-effective', 'micro-featured mold', 'microstructures replication', 'micro-featured mold insert', 'fresnel lens', 'transcription rate', 'plastic fresnel lens', 'micro-hot embossing', 'embossing', 'form accuracy', 'conventional method', 'mold insert']"
W2004758896,"['turning test', 'hard alloy', 'iron fecr12c2.1', 'iron', 'fc13nb9motic2.3', 'fc13nb9moj', 'cobalt basis cobalt', 'cobalt', 'cutting speed range', 'cutting speed', 'polycrystalline cubic boron nitride', 'pcbn', 'tool material', 'chip formation', 'cutting tool wear', 'surface integrity', 'workpiece', 'ductility', 'fracture toughness', 'ductility and fracture toughness', 'martensitically hardened alloy', 'martensitic hardening', 'adhesion', 'metallic bonding phase', 'pcbn cutting tool', 'cobalt content', 'flank wear', 'carbide content', 'strain hardening capability', 'surface stress', 'eutectic carbides', 'm3', 'hardness profile', 'near-surface strain-hardened zone', 'strain-hardened zone', 'residual stress', 'surface roughness', 'flake', 'material squeezing', 'spalling']"
W2005210759,"['base contact issue', 'base contact', 'schnellen integrierten si/sige heterobipolartransistoren', 'heterobipolartransistoren', 'si/sige', 'integriert', 'basiskontakte', 'schnelles', 'implantiertes base', 'silicide', 'low resistivity contact', 'base-collector space-charge region', 'space-charge region', 'cobaltsilicide', 'contacting', 'cap-layer reaction', 'cobalt', 'silicide roughness']"
W2006101366,"['strain rate sensitivity', 'titanium matrix composite', 'titanium', 'matrix composite', 'tensile loading', 'tensility', 'silicon carbide fibre', 'aero engine', 'impact loading', 'rotating compressor component', 'titanium matrix composites', 'fly wheel device', 'loadings', 'strain rate', 'energy consumption', 'plastic deformed length', 'scanning electron microscopy']"
W2009626356,"['compression nail', 'nail-osteosynthesis', 'shaft-fracture', 'long bone', 'nail-bone-system', 'primary-stability', 'full weight-bearing', 'pre-compression', 'diaphyseal cross fracture', 'short oblique fracture', 'non-union', 'correction-osteotomy', 'tandem compression nail', 'biomechanical photoelastic evaluation']"
W2011117797,"['self-hardening bainitic cast steel', 'bainitic cast steel', 'cast steel', 'wear resistant material', 'isothermal quenching', 'molybdenum alloying', 'molybdenum', 'pearlitic transformation', 'manganese boron', 'manganese boron elements', 'titanium', 'nitrogen', 'calcium', 'barium', 'yttrium', 'solidification structure', 'impact toughness', 'tempering brittleness', 'two-body pin-on-disc wear', 'wear resistance', 'bucket teeth of excavator', 'hammer of crusher']"
